-0.020388	0.130135	0.116309	0.984440	0.003639	-0.091197	-0.584008	0.020430	0.048057	-0.106908	1.235132	-0.059853	0.042464	-0.028577	-0.527603	-0.153898	0.191629	0.044735	0.036850	-0.453825	-4.368377	-0.232844	11.080959	-0.259459	0.241299	-0.488902	-0.385672	-0.614950	0.966708	0.213340	0.128462
-0.019898	0.129897	0.113174	0.984846	0.008258	-0.062213	-0.636429	0.011607	-0.000417	-0.111785	1.343710	-0.062171	0.044344	-0.036633	-0.535641	-0.159700	0.212652	0.046405	0.038272	-0.882374	-4.847392	-0.487690	10.857841	-0.231837	0.187996	-0.805559	-0.803806	-0.580218	2.102234	0.167000	0.142242
-0.019332	0.129845	0.109526	0.985277	0.014396	-0.026892	-0.739072	-0.000801	-0.054337	-0.118441	1.448864	-0.064223	0.045733	-0.047627	-0.547418	-0.164284	0.243192	0.047619	0.039775	-1.240789	-5.392033	-0.665676	10.515424	-0.205207	0.138817	-1.099440	-1.177704	-0.458377	3.054081	0.121416	0.150281
-0.018651	0.130137	0.105090	0.985735	0.024200	0.039232	-0.896645	-0.015800	-0.114099	-0.125989	1.549312	-0.066016	0.046670	-0.060984	-0.561969	-0.166921	0.280948	0.048383	0.041285	-1.499889	-5.976212	-0.754744	10.044763	-0.179250	0.093776	-1.335718	-1.455076	-0.263669	3.775584	0.076392	0.151025
-0.017910	0.132312	0.100045	0.985984	0.058432	0.416450	-1.011973	-0.032211	-0.179741	-0.133470	1.643685	-0.067552	0.047197	-0.075808	-0.577746	-0.167178	0.323186	0.048707	0.042724	-1.641026	-6.564215	-0.748126	9.437294	-0.153633	0.052671	-1.482352	-1.577768	-0.025760	4.223822	0.032357	0.143934
-0.017001	0.136131	0.093715	0.986102	0.084422	0.743883	-1.265597	-0.048795	-0.250863	-0.139911	1.730546	-0.068832	0.047349	-0.091003	-0.592667	-0.164932	0.366861	0.048613	0.044022	-1.658420	-7.112221	-0.644114	8.686120	-0.128025	0.015198	-1.519502	-1.492017	0.224682	4.367420	-0.009404	0.129795
-0.015842	0.140006	0.085771	0.986301	0.079474	0.751988	-1.593342	-0.064381	-0.326589	-0.144376	1.808428	-0.069853	0.047159	-0.105458	-0.604304	-0.160255	0.408837	0.048145	0.045128	-1.558631	-7.572577	-0.446480	7.788168	-0.102077	-0.019021	-1.445524	-1.163782	0.467631	4.197681	-0.046780	0.110556
-0.014520	0.144706	0.076674	0.986393	0.079229	0.918311	-1.825548	-0.077954	-0.405602	-0.146030	1.875894	-0.070607	0.046654	-0.118196	-0.610238	-0.153343	0.446209	0.047373	0.046014	-1.357340	-7.901236	-0.165354	6.746622	-0.075369	-0.050462	-1.273795	-0.593354	0.691239	3.737130	-0.077225	0.088619
-0.013035	0.149813	0.066472	0.986391	0.066728	1.001869	-2.051012	-0.088707	-0.486263	-0.144204	1.931614	-0.071081	0.045858	-0.128430	-0.608434	-0.144534	0.476591	0.046387	0.046675	-1.075310	-8.066176	0.182590	5.572035	-0.047438	-0.079642	-1.023396	0.180358	0.880926	3.038222	-0.098530	0.066066
-0.011128	0.154169	0.053639	0.986525	0.038299	0.849025	-2.590398	-0.096065	-0.566784	-0.138459	1.974429	-0.071261	0.044789	-0.135564	-0.597537	-0.134377	0.498313	0.045293	0.047118	-0.735718	-8.052050	0.574473	4.281499	-0.017959	-0.106914	-0.713409	1.089693	1.015637	2.172259	-0.109430	0.044309
-0.008391	0.157378	0.035574	0.986862	0.004472	0.613889	-3.658494	-0.099696	-0.645368	-0.128640	2.003399	-0.071130	0.043465	-0.139207	-0.576981	-0.123628	0.510474	0.044197	0.047361	-0.363120	-7.858393	0.981895	2.896926	0.013098	-0.132335	-0.364262	2.055688	1.074899	1.216034	-0.109569	0.024276
-0.004955	0.160030	0.013062	0.987013	-0.025896	0.507131	-4.565346	-0.099523	-0.720313	-0.114909	2.017834	-0.070675	0.041908	-0.139212	-0.546947	-0.113148	0.512898	0.043206	0.047428	0.017258	-7.494544	1.373087	1.443534	0.045431	-0.155708	-0.000551	3.003370	1.047980	0.242393	-0.099159	0.006792
