0.000417	0.011607	-0.111785	-1.343710	-0.062171	0.044344	0.535641	-0.036633	-0.159700	-0.212652	0.046405	0.038272	4.847392	-0.882374	-0.487690	-10.857841	-0.231837	0.187996	0.803806	-0.805559	-0.580218	-2.102234	0.167000	0.142242
0.054337	-0.000801	-0.118441	-1.448864	-0.064223	0.045733	0.547418	-0.047627	-0.164284	-0.243192	0.047619	0.039775	5.392033	-1.240789	-0.665676	-10.515424	-0.205207	0.138817	1.177704	-1.099440	-0.458377	-3.054081	0.121416	0.150281
0.114099	-0.015800	-0.125989	-1.549312	-0.066016	0.046670	0.561969	-0.060984	-0.166921	-0.280948	0.048383	0.041285	5.976212	-1.499889	-0.754744	-10.044763	-0.179250	0.093776	1.455076	-1.335718	-0.263669	-3.775584	0.076392	0.151025
0.179741	-0.032211	-0.133470	-1.643685	-0.067552	0.047197	0.577746	-0.075808	-0.167178	-0.323186	0.048707	0.042724	6.564215	-1.641026	-0.748126	-9.437294	-0.153633	0.052671	1.577768	-1.482352	-0.025760	-4.223822	0.032357	0.143934
0.250863	-0.048795	-0.139911	-1.730546	-0.068832	0.047349	0.592667	-0.091003	-0.164932	-0.366861	0.048613	0.044022	7.112221	-1.658420	-0.644114	-8.686120	-0.128025	0.015198	1.492017	-1.519502	0.224682	-4.367420	-0.009404	0.129795
0.326589	-0.064381	-0.144376	-1.808428	-0.069853	0.047159	0.604304	-0.105458	-0.160255	-0.408837	0.048145	0.045128	7.572577	-1.558631	-0.446480	-7.788168	-0.102077	-0.019021	1.163782	-1.445524	0.467631	-4.197681	-0.046780	0.110556
0.405602	-0.077954	-0.146030	-1.875894	-0.070607	0.046654	0.610238	-0.118196	-0.153343	-0.446209	0.047373	0.046014	7.901236	-1.357340	-0.165354	-6.746622	-0.075369	-0.050462	0.593354	-1.273795	0.691239	-3.737130	-0.077225	0.088619
0.486263	-0.088707	-0.144204	-1.931614	-0.071081	0.045858	0.608434	-0.128430	-0.144534	-0.476591	0.046387	0.046675	8.066176	-1.075310	0.182590	-5.572035	-0.047438	-0.079642	-0.180358	-1.023396	0.880926	-3.038222	-0.098530	0.066066
0.566784	-0.096065	-0.138459	-1.974429	-0.071261	0.044789	0.597537	-0.135564	-0.134377	-0.498313	0.045293	0.047118	8.052050	-0.735718	0.574473	-4.281499	-0.017959	-0.106914	-1.089693	-0.713409	1.015637	-2.172259	-0.109430	0.044309
0.645368	-0.099696	-0.128640	-2.003399	-0.071130	0.043465	0.576981	-0.139207	-0.123628	-0.510474	0.044197	0.047361	7.858393	-0.363120	0.981895	-2.896926	0.013098	-0.132335	-2.055688	-0.364262	1.074899	-1.216034	-0.109569	0.024276
0.720313	-0.099523	-0.114909	-2.017834	-0.070675	0.041908	0.546947	-0.139212	-0.113148	-0.512898	0.043206	0.047428	7.494544	0.017258	1.373087	-1.443534	0.045431	-0.155708	-3.003370	-0.000551	1.047980	-0.242393	-0.099159	0.006792
0.790072	-0.095715	-0.097738	-2.017320	-0.069891	0.040141	0.508249	-0.135720	-0.103757	-0.506061	0.042418	0.047356	6.975898	0.380848	1.717074	0.051427	0.078469	-0.176683	-3.869764	0.349239	0.939116	0.683716	-0.078795	-0.007248
